Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size,ObjectCode,mapable
0x2000,0x04,UNSIGNED8 Array Subindex 4,UNSIGNED8,rw,4,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2001,0x00,UNSIGNED16 Array Highest sub-index supported,UNSIGNED8,ro,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0,ARRAY,mapping
0x2001,0x01,UNSIGNED16 Array Subindex 1,UNSIGNED16,rw,257,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2001,0x02,UNSIGNED16 Array Subindex 2,UNSIGNED16,rw,514,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2001,0x03,UNSIGNED16 Array Subindex 3,UNSIGNED16,rw,771,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2001,0x04,UNSIGNED16 Array Subindex 4,UNSIGNED16,rw,1028,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2002,0x00,INTEGER16 Array Highest sub-index supported,UNSIGNED8,ro,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0,ARRAY,mapping
0x2002,0x01,INTEGER16 Array Subindex 1,INTEGER16,rw,-101,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2002,0x02,INTEGER16 Array Subindex 2,INTEGER16,rw,-202,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2002,0x03,INTEGER16 Array Subindex 3,INTEGER16,rw,-303,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2002,0x04,INTEGER16 Array Subindex 4 (write only),INTEGER16,wo,-404,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x00,Manufacturer Record Highest sub-index supported,UNSIGNED8,ro,8,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x2003,0x01,Manufacturer Record U8,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x02,Manufacturer Record U16,UNSIGNED16,rw,2,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x03,Manufacturer Record U32,UNSIGNED32,rw,3,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x04,Manufacturer Record I8,INTEGER8,rw,-1,NONE,-128,127,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x05,Manufacturer Record I16,INTEGER16,rw,-2,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x06,Manufacturer Record I32,INTEGER32,rw,-3,NONE,-2147483648,2147483647,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x07,Manufacturer Record R32,REAL32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x08,Manufacturer Record VS,VISIBLE_STRING,const,emotas evaluation example,NONE,0,0,yes,no,no,no,1,ManagedConst,25,,mapping
